"";"AB"
"DESARBO W, 2012, INTERFACES";"THE SPORTS INDUSTRY IS ONE OF THE WORLD'S FASTEST-GROWING BUSINESS SECTORS, AND ITS PRIMARY SOURCE OF REVENUE IS ULTIMATELY DERIVED FROM SPORTS FANS. HOWEVER, LITTLE IS KNOWN ABOUT FANS' ALLOCATIONS OF TIME, EFFORT, AND FINANCIAL EXPENDITURES TO THE SPORTS THEY CARE MOST ABOUT OR HOW THEY DETERMINE THEIR ALLOCATIONS. THE OBJECTIVE OF OUR RESEARCH IS TO EXPLORE THE DIMENSIONS OF SPORTS CONSUMPTION AND FAN AVIDITY, AND THE NATURE OF HETEROGENEITY OF SUCH DEMAND ASPECTS VIS-A-VIS DERIVED MARKET SEGMENTS. WE DEVELOP A NEW CONSTRAINED LATENT-STRUCTURE MULTIDIMENSIONAL SCALING PROCEDURE TO UNCOVER THE UNDERLYING DIMENSIONS OF SPORTS CONSUMPTION AND FAN AVIDITY FOR STUDENT COLLEGE FOOTBALL FANS AT A LARGE UNIVERSITY, AND SIMULTANEOUSLY DERIVE LATENT MARKET SEGMENTS TO EXPLORE DEMAND HETEROGENEITY. WE COLLECTED DATA FROM A SAMPLE OF STUDENT FOOTBALL FANS FROM A LARGE US PUBLIC UNIVERSITY KNOWN FOR ITS EXCELLENCE IN COLLEGE FOOTBALL. WE DEVELOPED 35 EXPRESSIONS OF MANIFESTATIONS OF FAN AVIDITY AND INVESTIGATED HOW THESE COLLEGE FANS FOLLOW AND SUPPORT THEIR FOOTBALL TEAM. WE THEN EXTRACTED FOUR INTERPRETABLE DIMENSIONS AND FOUR MARKET SEGMENTS WITH THE APPLICATION OF THIS NEW SPATIAL MULTIDIMENSIONAL SCALING MODEL. THIS PAPER DISCUSSES THE MANAGERIAL IMPLICATIONS OF APPLYING THIS NEW LATENT-STRUCTURE PROCEDURE TO THIS COLLEGE FOOTBALL CONTEXT."
"GUSCHWAN M, 2012, J CONSUM CULT";"THIS ARTICLE APPROACHES SPORTS TEAM SUPPORTERS FROM TWO LENSES: (1) THAT OF BRANDING, WHICH DEFINES SUPPORTERS AS LOYAL CUSTOMERS AND POTENTIAL COMMODITIES; (2) THAT OF FANDOM, WHICH UNDERSTANDS SUPPORTERS AS AGENTIVE MEANING-PRODUCERS WHO USE FANDOM FOR THEIR OWN USES. THIS JUXTAPOSITION REVEALS HOW FANS' SENSE OF SYMBOLIC OWNERSHIP IS BOTH IMPELLED AND DISAVOWED. I USE THE TERM `BRANDOM' TO REFER TO BRAND-CONTROLLED `FAN' COMMUNITIES THAT LACK REAL AUTONOMY. THE CASE STUDY OF THE LAZIO IRRIDUCIBILI `ULTRAS' FAN CLUB IN ROME ITALY, DEMONSTRATES THE POTENTIAL OF ORGANIZED FANS TO CREATE AND PROMOTE BRANDED COMMODITIES AND, FURTHERMORE, IT SHOWS THE POTENTIAL OF ORGANIZED FANS TO THREATEN THE SYMBOLIC AND FINANCIAL LEGITIMACY OF SPORTS TEAM/BRAND OWNERSHIP, AND THE TYPICAL RELATIONSHIP THAT EXISTS BETWEEN FANS (CONSUMERS) AND TEAMS (BRANDS)."
"KAVETSOS G, 2012, SOC INDIC RES";"THIS STUDY FOCUSES ON THE DETERMINANTS OF SELF-REPORTED MEASURES OF NATIONAL PRIDE. USING POOLED CROSS-SECTIONAL DATA FOR EUROPEAN COUNTRIES OBTAINED FROM THE EUROBAROMETER, IT IS ESTIMATED THAT PRIDE IS NOT CORRELATED WITH GDP PER CAPITA NOR WITH HOUSEHOLD INCOME LEVELS. USING THE 2000 UEFA EUROPEAN CHAMPIONSHIP AS A NATURAL EXPERIMENT, IT IS ESTIMATED THAT INDIVIDUALS FROM BOTH HOST AND WINNING NATIONS REPORT, ON AVERAGE, HIGHER LEVELS OF NATIONAL PRIDE IN THE PERIOD IMMEDIATELY FOLLOWING THE EVENT, SUPPORTING THEORETICAL ARGUMENTS OF A ``FEEL-GOOD'' FACTOR ASSOCIATED WITH SPORTS EVENTS. ACCOUNTING FOR PERFORMANCE RELATIVE TO EXPECTATIONS PRODUCES RESULTS ALONG THE SAME LINES."
"MATHESON VA, 2012, INT J SPORT FINANC";"WE EXAMINED THE PROFITABILITY OF DIVISION I ATHLETIC PROGRAMS AT COLLEGES AND UNIVERSITIES IN THE UNITED STATES UNDER A VARIETY OF ACCOUNTING DEFINITIONS OF PROFIT. THE DATA IDENTIFIED SEVERAL BROAD THEMES. FIRST, A MAJORITY OF ATHLETIC DEPARTMENTS RELIED HEAVILY ON DIRECT AND INDIRECT SUBSIDIZATION OF THEIR PROGRAMS BY THE STUDENT BODY, THE INSTITUTION ITSELF, AND STATE GOVERNMENTS IN ORDER TO BALANCE THEIR BOOKS. WITHOUT SUCH FUNDING, LESS THAN ONE-THIRD OF BOWL CHAMPIONSHIP SERIES (BCS) ATHLETIC DEPARTMENTS AND NONE OF THE NON-BCS DEPARTMENTS WERE IN THE BLACK. SECOND, ATHLETIC PROGRAMS RELIED HEAVILY ON CONTRIBUTIONS TO BALANCE THEIR BOOKS. DONATIONS TO ATHLETIC DEPARTMENTS MAY SERVE AS A SUBSTITUTE FOR DONATIONS TO THE REST OF THE UNIVERSITY, LOWERING GIVING TO OTHER PROGRAMS. THIRD, FOOTBALL AND MEN'S BASKETBALL PROGRAMS WERE GENERALLY HIGHLY PROFITABLE AT BCS SCHOOLS; HOWEVER, BELOW THIS TOP TIER, FEWER THAN 10\% OF FOOTBALL PROGRAMS AND 15\% OF MEN'S BASKETBALL PROGRAMS SHOWED A PROFIT BY ANY REASONABLE ACCOUNTING MEASURES."
"DRAPER CE, 2012, INT J SPORTS SCI SCI COACH";"THE AIM OF THIS STUDY WAS TO EVALUATE PROJECT ITHUSENG, A LIFE SKILLS PROGRAMME FOR PROFESSIONAL SOCCER PLAYERS IN SOUTH AFRICA (SA). PRIOR TO IMPLEMENTATION, A NEEDS ASSESSMENT QUESTIONNAIRE WAS ADMINISTERED TO ALL PLAYERS, AND SEVEN FOCUS GROUPS WERE CONDUCTED WITH PLAYERS. A LIFE SKILLS QUESTIONNAIRE WAS ADMINISTERED TO ALL PLAYERS PRE- AND POST-IMPLEMENTATION (N=123). POST-IMPLEMENTATION, SEVEN FOCUS GROUPS AND NINE KEY INFORMANT INTERVIEWS WERE CONDUCTED. PRIORITY ISSUES IDENTIFIED IN THE FORMATIVE EVALUATION WERE PLANNING FOR THE FUTURE, LEADERSHIP, COMMUNICATION, TEAMWORK, SELF-CONFIDENCE, TAKING RESPONSIBILITY AND FINANCIAL SKILLS. POST-IMPLEMENTATION FOCUS GROUPS REVEALED THAT PROJECT ITHUSENG WAS GENERALLY PERCEIVED AS BENEFICIAL FOR PLAYERS. THE MAIN FACTOR INFLUENCING SUCCESSFUL IMPLEMENTATION WAS THE SUPPORT OF TEAM MANAGEMENT. THERE WAS A SIGNIFICANT DIFFERENCE BETWEEN PRE- AND POST-IMPLEMENTATION SCORES ON THE LIFE SKILLS QUESTIONNAIRE (P=0.046). THROUGH ENCOURAGING COLLABORATION BETWEEN SOCCER STAKEHOLDERS IN SA, PROJECT ITHUSENG HAS CREATED A PLATFORM FOR FUTURE WORK IN THIS AREA."
"STORM RK, 2012, EUR SPORT MANAG Q";"PROFESSIONAL FOOTBALL IN EUROPE IS CHARACTERIZED BY PERSISTENT DEFICITS AND GROWING DEBTS AMONG THE MAJORITY OF THE TOP LEAGUE CLUBS. DESPITE THESE PROBLEMS, THE CLUBS HAVE AN ABNORMALLY HIGH SURVIVAL RATE. THIS PAPER FOCUSES ON THIS APPARENT PARADOX AND POSES THE QUESTION: WHY DO ONLY VERY FEW EUROPEAN PROFESSIONAL FOOTBALL CLUBS GO OUT OF BUSINESS EVEN THOUGH THEY OPERATE CHRONICALLY ON THE EDGE OF FINANCIAL COLLAPSE? THE PAPER ARGUES THAT THE PARADOX CAN BE EXPLAINED BY THE FACT THAT PROFESSIONAL FOOTBALL CLUBS OPERATE WITHIN SOFT BUDGET CONSTRAINTS IN A WAY WHICH IS SIMILAR TO THE ROLE OF LARGE COMPANIES IN SOCIALIST ECONOMIES - A PHENOMENON WHICH WAS FIRST IDENTIFIED BY THE HUNGARIAN ECONOMIST JANOS KORNAI."
"WEINBERG B, 2012, INT J HIST SPORT";"IN ACCORDANCE WITH ITS SLOGAN `THE FUTURE IS ASIA', THE ASIAN FOOTBALL CONFEDERATION INITIATED THE VISION ASIA FOOTBALL DEVELOPMENT PROGRAMME IN 2003. FOCUSING ON MARKETING, GRASS ROOTS, COACH EDUCATION, REFEREES, SPORTS MEDICINE, MEN'S COMPETITIONS, WOMEN'S COMPETITIONS, FUTSAL, MEDIA, AND FANS, IT IS CLAIMED TO BE A COMPREHENSIVE COMPLEMENT TO FIFA'S GOAL PROJECT. FURTHERMORE THE AFC HAS INTRODUCED A FINANCIAL AID PROGRAMME CALLED AID27 AND ITS SOCIAL RESPONSIBILITY CAMPAIGN TITLED DREAM ASIA FOCUSING ON UTILISING FOOTBALL AS VEHICLE FOR ACHIEVING DEVELOPMENT, PEACE AND SOCIAL JUSTICE. AIMED AT EXPLORING THE ROLE OF THE FOOTBALL GOVERNING BODY AFC IN THE TRANSNATIONAL GOVERNANCE AND DEVELOPMENT OF FOOTBALL IN ASIA IN THE CONTEXT OF A GLOBALISED GAME, THIS ARTICLE PROVIDES AN OVERVIEW OF THE HISTORY OF THE AFC AND ITS POLITICAL RELATIONS WITH FIFA AND ASIAN MEMBER ASSOCIATIONS. IN ADDITION IT CONTAINS AN ANALYSIS OF THE AFC'S INSTITUTIONAL STRUCTURE, ITS POLICIES AND NETWORK RELATIONS. ACCORDINGLY THE ARTICLE IMPLIES A DESCRIPTION OF HOW SPECIFICALLY THE AID27 AND VISION ASIA PROGRAMMES ARE AIMED AT DEVELOPING AND INCREASING THE STANDARDS OF ASIAN FOOTBALL."
"WEVER S, 2012, APPL ECON LETT";"PREVIOUS RESEARCH HAS FAILED TO DRAW ANY CLEAR CONCLUSIONS ABOUT THE EFFICIENCY OF THE BILLION-DOLLAR GAMBLING INDUSTRY FOR NATIONAL FOOTBALL LEAGUE (NFL) GAMES. WE BUILD ON PREVIOUS RESEARCH AND EXPOSE A NEW MARKET INEFFICIENCY, WHICH IS CONSISTENT WITH THE WELL-DOCUMENTED NOTION OF HERD BEHAVIOUR IN BEHAVIOURAL FINANCE. A DIFFERENTIAL STRATEGY OF BETTING ON HOME AND VISITOR UNDERDOGS WITH LARGE CLOSING LINES CAN PRODUCE STATISTICALLY SIGNIFICANT POSITIVE RETURNS."
"WIND TC, 2012, J ORTHOP TRAUMA";"OBJECTIVE: THE PURPOSE OF THIS STUDY WAS TO DETERMINE WHETHER PATIENTS WHO SUSTAIN TIBIA FRACTURES DURING ATHLETIC COMPETITION ARE AT AN INCREASED RISK OF DEVELOPING ACUTE COMPARTMENT SYNDROME (ACS). DESIGN: RETROSPECTIVE REVIEW. SETTING: UNIVERSITY LEVEL I TRAUMA CENTER. PARTICIPANTS/PATIENTS: ACUTE TIBIA FRACTURES IN 626 PATIENTS BETWEEN JULY 2006 AND JUNE 2009. METHODS: A RETROSPECTIVE REVIEW OF 626 CONSECUTIVE TIBIA FRACTURES TREATED BY OUR DEPARTMENT BETWEEN JULY 2006 AND JUNE 2009 WAS PERFORMED. WE RECORDED THE MECHANISM AND TYPE OF FRACTURE AS WELL AS WHETHER OR NOT ACS DEVELOPED. SOCCER AND FOOTBALL INJURIES WERE ANALYZED AS SPECIFIC GROUPS. CHI SQUARE WAS USED TO ANALYZE OUR RESULTS. MAIN OUTCOME MEASUREMENTS: THE RATE OF ACS IN PATIENTS INJURED DURING SPORTING EVENTS VERSUS THAT OF ALL PATIENTS WITH A TIBIA FRACTURE. RESULTS: THIRTY-FOUR PATIENTS (5.4\%) DEVELOPED ACS, WHICH IS CONSISTENT WITH THE PUBLISHED LITERATURE. NINE PATIENTS SUSTAINED THE INJURY WHILE PLAYING SOCCER (1.4\% OF PATIENTS), WHEREAS 11 PATIENTS (1.7\%) WERE INJURED PLAYING FOOTBALL. FIVE OF THE NINE SOCCER PLAYERS (55\%; P < 0.001) AND THREE OF THE FOOTBALL PLAYERS (27\%; P < 0.001) DEVELOPED ACS. COLLECTIVELY, TIBIA FRACTURES SUSTAINED IN FOOTBALL AND SOCCER LED TO 25\% OF ACS CASES DESPITE ACCOUNTING FOR ONLY 3.1\% OF ALL TIBIA FRACTURES. CONCLUSIONS: TIBIA FRACTURES SUSTAINED DURING SOCCER AND FOOTBALL HAD A STATISTICALLY SIGNIFICANT ASSOCIATION WITH DEVELOPMENT OF ACS IN OUR PATIENT POPULATION DURING THIS TIME PERIOD. SUCH PATIENTS SHOULD BE MONITORED CLOSELY AND FOLLOWED WITH HIGH CLINICAL SUSPICION FOR ACS."
"RIBEIRO AS, 2012, APPL ECON LETT";"IN THIS ARTICLE, WE USE DATA ENVELOPMENT ANALYSIS (DEA) TO MEASURE THE EFFICIENCY OF PORTUGUESE FOOTBALL CLUBS IN THE FIRST LEAGUE FOR SEASONS 2002/03 TO 2008/09. CLUBS SPEND DIFFERENT AMOUNTS OF MONEY ON THEIR PLAYERS AND USE DIFFERENT INCENTIVE DEVICES TO ACHIEVE THEIR AIMS FOR EACH SEASON. OUR FIRST AIM IS TO FIND OUT WHETHER CLUBS ARE SPENDING MORE MONEY THAN THEY NEED TO. EVIDENCE SHOWS THAT THIS IS THE CASE FOR SEVERAL CLUBS, SUGGESTING THAT BUYING PLAYERS SOLELY WITH A VIEW TO SELLING THEM ON FOR FUTURE FINANCIAL GAIN CAN SERIOUSLY DAMAGE CLUBS' ACCOUNTS AND EFFICIENCY. THIS IS ALL THE MORE REMARKABLE AS THE COMPETITIVE LEVEL IS INCREASING AND UNION OF EUROPEAN FOOTBALL ASSOCIATIONS (UEFA) IS ISSUING MORE STRINGENT FINANCIAL STABILITY CONDITIONS. OUR SECOND AIM IS TO ASCERTAIN THE RELATIONSHIP BETWEEN THE PLAYERS' WAGE DISTRIBUTION AND THE CLUBS' EFFICIENCY. WE DEMONSTRATE THAT A HIGHER WAGE SPREAD TENDS TO BE ASSOCIATED WITH AN INCREASE IN EFFICIENCY. THE IMPLICATION IS THAT CLUBS SHOULD STRUCTURE WAGES SO AS TO HAVE THE OPTIMAL PAY RANKING FOR INDUCING PLAYERS' EFFORT."
"LAGO-BALLESTEROS J, 2012, J SPORTS SCI";"THE AIM OF THIS STUDY WAS TO ANALYSE THE INFLUENCE OF PLAYING TACTICS, OPPONENT INTERACTION AND SITUATIONAL VARIABLES ON ACHIEVING SCORE-BOX POSSESSIONS IN PROFESSIONAL SOCCER. THE SAMPLE WAS CONSTITUTED BY 908 POSSESSIONS OBTAINED BY A TEAM FROM THE SPANISH SOCCER LEAGUE IN 12 MATCHES PLAYED DURING THE 2009-2010 SEASON. MULTIDIMENSIONAL QUALITATIVE DATA OBTAINED FROM 12 ORDERED CATEGORICAL VARIABLES WERE USED. SAMPLED MATCHES WERE REGISTERED BY THE AMISCO PRO (R) SYSTEM. DATA WERE ANALYSED USING CHI-SQUARE ANALYSIS AND MULTIPLE LOGISTIC REGRESSION ANALYSIS. OF 908 POSSESSIONS, 303 (33.4\%) PRODUCED SCORE-BOX POSSESSIONS, 477 (52.5\%) ACHIEVED PROGRESSION AND 128 (14.1\%) FAILED TO REACH ANY SORT OF PROGRESSION. MULTIPLE LOGISTIC REGRESSION SHOWED THAT, FOR THE MAIN VARIABLE ``TEAM POSSESSION TYPE'' DIRECT ATTACKS AND COUNTERATTACKS WERE THREE TIMES MORE EFFECTIVE THAN ELABORATE ATTACKS FOR PRODUCING A SCORE-BOX POSSESSION (P < 0.05). TEAM POSSESSION ORIGINATING FROM THE MIDDLE ZONES AND PLAYING AGAINST LESS THAN SIX DEFENDING PLAYERS (P < 0.001) REGISTERED A HIGHER SUCCESS THAN THOSE STARTED IN THE DEFENSIVE ZONE WITH A BALANCED DEFENCE. WHEN THE TEAM WAS DRAWING OR WINNING, THE PROBABILITY OF REACHING THE SCORE-BOX DECREASED BY 43 AND 53 PERCENT, RESPECTIVELY, COMPARED WITH THE LOSING SITUATION (P < 0.05). ACCOUNTING FOR OPPONENT INTERACTIONS AND SITUATIONAL VARIABLES IS CRITICAL TO EVALUATE THE EFFECTIVENESS OF OFFENSIVE PLAYING TACTICS ON PRODUCING SCORE-BOX POSSESSIONS."
"MARCLAY F, 2011, FORENSIC SCI INT";"TOBACCO CONSUMPTION IS A GLOBAL EPIDEMIC RESPONSIBLE FOR A VAST BURDEN OF DISEASE. WITH PHARMACOLOGICAL PROPERTIES SOUGHT-AFTER BY CONSUMERS AND RESPONSIBLE FOR ADDICTION ISSUES, NICOTINE IS THE MAIN REASON OF THIS PHENOMENON. ACCORDINGLY, SMOKELESS TOBACCO PRODUCTS ARE OF GROWING POPULARITY IN SPORT OWING TO POTENTIAL PERFORMANCE ENHANCING PROPERTIES AND ABSENCE OF ADVERSE EFFECTS ON THE RESPIRATORY SYSTEM. NEVERTHELESS, NICOTINE DOES NOT APPEAR ON THE 2011 WORLD ANTI-DOPING AGENCY (WADA) PROHIBITED LIST OR MONITORING PROGRAM BY LACK OF A COMPREHENSIVE LARGE-SCALE PREVALENCE SURVEY. THUS, THIS WORK DESCRIBES A ONE-YEAR MONITORING STUDY ON URINE SPECIMENS FROM PROFESSIONAL ATHLETES OF DIFFERENT DISCIPLINES COVERING 2010 AND 2011. A METHOD FOR THE DETECTION AND QUANTIFICATION OF NICOTINE, ITS MAJOR METABOLITES (COTININE, TRANS-3-HYDROXYCOTININE, NICOTINE-N'-OXIDE AND COTININE-N-OXIDE) AND MINOR TOBACCO ALKALOIDS (ANABASINE, ANATABINE AND NORNICOTINE) WAS DEVELOPED, RELYING ON ULTRA-HIGH PRESSURE LIQUID CHROMATOGRAPHY COUPLED TO TRIPLE QUADRUPOLE MASS SPECTROMETRY (UHPLC-TQ-MS/MS). A SIMPLE AND FAST DILUTE-AND-SHOOT SAMPLE TREATMENT WAS PERFORMED, FOLLOWED BY HYDROPHILIC INTERACTION CHROMATOGRAPHY-TANDEM MASS SPECTROMETRY (HILIC-MS/MS) OPERATED IN POSITIVE ELECTROSPRAY IONIZATION (ESI) MODE WITH MULTIPLE REACTION MONITORING (MRM) DATA ACQUISITION. AFTER METHOD VALIDATION, ASSESSING THE PREVALENCE OF NICOTINE CONSUMPTION IN SPORT INVOLVED ANALYSIS OF 2185 URINE SAMPLES, ACCOUNTING FOR 43 DIFFERENT SPORTS. CONCENTRATIONS DISTRIBUTION OF MAJOR NICOTINE METABOLITES, MINOR NICOTINE METABOLITES AND TOBACCO ALKALOIDS RANGED FROM 10 (LLOQ) TO 32,223, 6670 AND 538 NG/ML, RESPECTIVELY. COMPOUNDS OF INTEREST WERE DETECTED IN TRACE LEVELS IN 23.0\% OF URINE SPECIMENS, WITH CONCENTRATION LEVELS CORRESPONDING TO AN EXPOSURE WITHIN THE LAST THREE DAYS FOR 18.3\% OF SAMPLES. LIKEWISE, HYPOTHESIZING CONSERVATIVE CONCENTRATION LIMITS FOR ACTIVE NICOTINE CONSUMPTION PRIOR AND/OR DURING SPORT PRACTICE (50 NG/ML FOR NICOTINE, COTININE AND TRANS-3-HYDROXYCOTININE AND 25 NG/ML FOR NICOTINE-N'-OXIDE, COTININE-N-OXIDE, ANABASINE, ANATABINE AND NORNICOTINE) REVEALED A PREVALENCE OF 15.3\% AMONGST ATHLETES. WHILE THIS NUMBER MAY APPEAR LOWER THAN THE WORLDWIDE SMOKING PREVALENCE OF AROUND 25\%, FOCUSING THE STUDY ON SELECTED SPORTS HIGHLIGHTED MORE ALARMING FINDINGS. INDEED, ACTIVE NICOTINE CONSUMPTION IN ICE HOCKEY, SKIING, BIATHLON, BOBSLEIGH, SKATING, FOOTBALL, BASKETBALL, VOLLEYBALL, RUGBY, AMERICAN FOOTBALL, WRESTLING AND GYMNASTICS WAS FOUND TO RANGE BETWEEN 19.0 AND 55.6\%. THEREFORE, CONSIDERING THE ADVERSE EFFECTS OF SMOKING ON THE RESPIRATORY TRACT AND NUMEROUS HEALTH THREATS DETRIMENTAL TO SPORT PRACTICE AT TOP LEVEL, LIKELIHOOD OF SMOKELESS TOBACCO CONSUMPTION FOR PERFORMANCE ENHANCEMENT IS GREATLY SUPPORTED. (C) 2011 ELSEVIER IRELAND LTD. ALL RIGHTS RESERVED."
"SPENCER M, 2011, INT J SPORT PHYSIOL PERFORM";"VARIATIONS IN RATES OF GROWTH AND DEVELOPMENT IN YOUNG FOOTBALL PLAYERS CAN INFLUENCE RELATIONSHIPS AMONG VARIOUS FITNESS QUALITIES. PURPOSE: TO INVESTIGATE THE RELATIONSHIPS BETWEEN REPEATED-SPRINT ABILITY AND OTHER FUNDAMENTAL FITNESS QUALITIES OF ACCELERATION, AGILITY, EXPLOSIVE LEG POWER, AND AEROBIC CONDITIONING THROUGH THE AGE GROUPS OF U11 TO U18 IN HIGHLY TRAINED JUNIOR FOOTBALL PLAYERS. METHODS: MALE PLAYERS (N = 119) ACROSS THE AGE GROUPS COMPLETED A FITNESS ASSESSMENT BATTERY OVER TWO TESTING SESSIONS. THE FIRST SESSION CONSISTED OF COUNTERMOVEMENT JUMPS WITHOUT AND WITH ARM SWING, 15-M SPRINT RUN, 15-M AGILITY RUN, AND THE 20-M SHUTTLE RUN (U11 TO U15) OR THE YO-YO INTERMITTENT RECOVERY TEST, LEVEL 1 (U16 TO U18). THE PLAYERS WERE TESTED FOR REPEATED-SPRINT ABILITY IN THE SECOND TESTING SESSION USING A PROTOCOL OF 6 X 30-M SPRINTS ON 30 S WITH AN ACTIVE RECOVERY. RESULTS: THE CORRELATIONS OF REPEATED-SPRINT ABILITY WITH THE ASSORTED FITNESS TESTS VARIED CONSIDERABLY BETWEEN THE AGE GROUPS, ESPECIALLY FOR AGILITY (R = .02 TO .92) AND EXPLOSIVE LEG POWER (R = .04 TO .84). CORRELATIONS OF REPEATED SPRINT ABILITY WITH ACCELERATION (R = .48 TO .93) AND AEROBIC CONDITIONING (R = .28 TO .68) WERE LESS VARIABLE WITH AGE. CONCLUSION: REPEATED-SPRINT ABILITY ASSOCIATES DIFFERENTLY WITH OTHER FUNDAMENTAL FITNESS TESTS THROUGHOUT THE TEENAGE YEARS IN HIGHLY TRAINED FOOTBALL PLAYERS, ALTHOUGH STABILIZATION OF THESE RELATIONSHIPS OCCURS BY THE AGE OF 18 Y. COACHES IN JUNIOR FOOTBALL SHOULD PRESCRIBE PHYSICAL TRAINING ACCOUNTING FOR VARIATIONS IN SHORT-TERM DISRUPTIONS OR IMPAIRMENT OF PHYSICAL PERFORMANCE DURING THIS DEVELOPMENTAL PERIOD."
"LESSMANN S, 2011, J OPER RES SOC";"BETTING MARKETS HAVE DRAWN MUCH ATTENTION IN THE ECONOMICS, FINANCE AND OPERATIONAL RESEARCH LITERATURE BECAUSE THEY PROVIDE A VALUABLE WINDOW ON THE MANNER IN WHICH INDIVIDUALS USE INFORMATION IN WIDER FINANCIAL MARKETS. ONE QUESTION THAT HAS RECEIVED PARTICULAR ATTENTION IS TO WHAT EXTENT INDIVIDUALS DISCOUNT INFORMATION IN MARKET PRICES. THE PREDOMINANT APPROACH TO EXPLORE THIS ISSUE INVOLVES PREDICTIVE MODELING TO FORECAST MARKET OUTCOMES AND EXAMINING EMPIRICALLY WHETHER ABNORMAL RETURNS CAN BE MADE BY EMPLOYING THESE FORECASTS. IT IS ARGUED HERE THAT PRESENT PRACTICES TO ASSESS SUCH FORECASTING MODELS, INCLUDING THE USE OF POINT ESTIMATES AND INFORMATION, WHICH WOULD NOT BE AVAILABLE IN PRACTICE (AT THE FORECASTING STAGE) AND FAILING TO UPDATE FORECASTING MODELS WITH INFORMATION FROM THE RECENT PAST, MAY GIVE RISE TO MISLEADING CONCLUSIONS REGARDING A MARKET'S INFORMATIONAL EFFICIENCY. HYPOTHESES ARE DEVELOPED TO CONCEPTUALIZE THESE VIEWS AND ARE TESTED BY MEANS OF EXTENSIVE EMPIRICAL EXPERIMENTATION USING REAL-WORLD DATA FROM THE HONG KONG HORSERACE BETTING MARKET. OUR STUDY IDENTIFIES SEVERAL SOURCES OF BIAS AND CONFIRMS THAT CURRENT PRACTICES MAY NOT BE RELIED UPON. A MORE APPROPRIATE MODELING PROCEDURE FOR ASSESSING THE TRUE DEGREE OF MARKET EFFICIENCY IS THEN PROPOSED. JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY (2011) 62, 2120-2132. DOI: 10.1057/JORS.2010.192 PUBLISHED ONLINE 2 FEBRUARY 2011"
"BUESCHEMANN A, 2011, INT J SPORT FINANC";"AFTER THE LOCKOUT SEASON IN 2004, THE 2005 COLLECTIVE BARGAINING AGREEMENT (CBA) INTRODUCED SALARY REGULATIONS, AS WELL AS REVENUE SHARING, TO THE TEAMS OF THE NATIONAL HOCKEY LEAGUE (NHL) WITH THE AIM TO RESTORE FINANCIAL COMPETITIVENESS. GIVEN THESE OBJECTIVES, THE QUESTION ARISES IF EFFICIENCIES IMPROVED UNDER THE NEW CBA. USING TEAM VALUES AS THE DEPENDENT VARIABLE, WE PERFORMED A STOCHASTIC FRONTIER ANALYSIS. OUR PAPER SUGGESTS THAT EFFICIENCIES IMMEDIATELY IMPROVED AFTER THE AGREEMENT, IN PARTICULAR FOR LOW PERFORMING TEAMS."
"FRICK B, 2011, INT J SPORT FINANC";"THE RECENT TRANSFERS OF CHRISTIAN RONALDO FROM MANCHESTER UNITED, AND OF RICARDO LZECSON DOS SANTOS LEITE (KAKA) FROM ASSOCIAZIONE CALCIO MILAN TO REAL MADRID AS WELL AS THE INCREASING FINANCIAL PROBLEMS OF MANY OF THE TOP TEAMS IN THE BIG FIVE EUROPEAN LEAGUES HAVE AGAIN INCREASED THE PUBLIC'S ATTENTION FOR THE GLOBAL FOOTBALL PLAYERS' LABOR MARKET. THEREFORE, THE PAPER ADDRESSES TWO IMPORTANT, AND HIGHLY CONTESTED, ISSUES: PLAYER REMUNERATION AND CONTRACT DURATION (PLAYERS ARE USUALLY CONSIDERED AS OVERPAID AND POORLY MOTIVATED. USING TWO DIFFERENT UNBALANCED PANELS FROM THE GERMAN BUNDESLIGA LEAGUE THAT COVER SIX AND 13 CONSECUTIVE SEASONS RESPECTIVELY (1997-98 TO 2002-03 AND 1995-96 TO 2007-08), I SHOW, FIRST, THAT THE VARIANCE IN PLAYER SALARIES CAN BE EXPLAINED, TO A LARGE EXTENT, BY THE VARIANCE IN INDIVIDUAL PERFORMANCE. THAT IS, SALARIES CAN BE EXPLAINED BY CAREER GAMES PLAYED AND GAMES PLAYED LAST SEASON, PREVIOUS AND RECENT INTERNATIONAL APPEARANCES, AND GOALS SCORED. MOREOVER, PLAYER POSITION, LEADERSHIP SKILLS, AND REGION OF BIRTH CLEARLY MATTER AS WELL. THE IMPACT OF THESE CHARACTERISTICS VARIES ACROSS THE SALARY DISTRIBUTION. SECOND, I FIND ROBUST EVIDENCE THAT PLAYER PERFORMANCE-MEASURED PRIMARILY, BUT NOT EXCLUSIVELY, BY A SUBJECTIVE OVERALL PLAYER RATING FROM KICKER, A HIGHLY RESPECTED SOCCER MAGAZINE-SIGNIFICANTLY INCREASES IN THE LAST YEAR OF THE CONTRACT. IN ADDITION, THE VARIANCE IN PLAYER PERFORMANCE IS SIGNIFICANTLY LOWER IN THE LAST YEAR OF THE CONTRACT. THESE FINDINGS SUGGEST THAT MORAL HAZARD IS A WIDESPREAD PHENOMENON, EVEN IN PROFESSIONAL SOCCER."
